COMMANDE;CO-CLIENT;CLIENT;PLAN;Designation;QT;Prix Unitaire;Prix Total;Matière;Epaisseur;DATE CLIENT;DATE CONFIRM;ETUDE;EXPEDIER;STOCK;TRUMPH 1;SEM PROD;TPS PRODUIT L;EBAVURAGE;Orbitale;Ebav. Chants;Sup Micro attache;Tribofinition;SEM PROD;TPS PRODUIT E;PARACHEVEMENT;Perçage;Taraudage;Fraisurage;Insert;SEM PROD;TPS PRODUIT P;PLIAGE;Nbr d'Op;SEM PROD;TPS PRODUIT PL;SOUDURE MIG;SEM PROD;TPS PRODUIT S;SOUDURE TIG;SEM PROD;TPS PRODUIT S;ZINGAGE;SBG;PASSIVATION;COLOR +;IOPP;RANCE SABLAGE;AUT;CHAMPALAUNE;ALETRU;CUIVRINOX;MANCHINOX;HAVARD;PIFAUDAIS;ATMM;AUTRE SST;MISE A DISPO;TRANSPORTEUR;COMMENTAIRES;POIDS
;;TMC INNOVATION;RONDELLE Ø185-76 EP 4-A-01;;38;1.07;53.54;ACIER DKP;4;;;;;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FRET;;35.31
;;TMC INNOVATION;TOLE PLIEE EP 4 HT 178-A-02;;38;14.87;743.36;ACIER DKP;4;;;;;;1.01;;;;;;;;;;;;;;;;;1.36;1;;;;;;;;;;;;;;;;;;;;;;;;;FRET;Croquage - Passage en DKP pour meilleur précision - tolérance du croquage +/- 1 mm;574.86
;;TMC INNOVATION;TOLE PLIEE EP 4 HT 178-B-02;;38;13.17;658.72;ACIER DKP;4;;;;;;1.07;;;;;;;;;;;;;;;;;1.36;1;;;;;;;;;;;;;;;;;;;;;;;;;FRET;Croquage - Passage en DKP pour meilleur précision - tolérance du croquage +/- 1 mm;552.8
;;TMC INNOVATION;PLATINE Ø196 EA 300 EP 12-A-00;;38;14.16;707.82;ACIER s235;12;;;;;;1.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FRET;;568.15
;;TMC INNOVATION;CONTRE POIDS EP 20-A-01;;1600;2.71;5888.24;ACIER s235;20;;;;;;22.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FRET; Controle des perçages pour passage d'un rond Diam 20 mm;1896
