COMMANDE;CO-CLIENT;CLIENT;PLAN;Designation;QT;Prix Unitaire;Prix Total;Matière;Epaisseur;DATE CLIENT;DATE CONFIRM;ETUDE;EXPEDIER;STOCK;TRUMPH 1;SEM PROD;TPS PRODUIT L;EBAVURAGE;Orbitale;Ebav. Chants;Sup Micro attache;Tribofinition;SEM PROD;TPS PRODUIT E;PARACHEVEMENT;Perçage;Taraudage;Fraisurage;Insert;SEM PROD;TPS PRODUIT P;PLIAGE;Nbr d'Op;SEM PROD;TPS PRODUIT PL;SOUDURE MIG;SEM PROD;TPS PRODUIT S;SOUDURE TIG;SEM PROD;TPS PRODUIT S;ZINGAGE;SBG;PASSIVATION;COLOR +;IOPP;RANCE SABLAGE;AUT;CHAMPALAUNE;ALETRU;CUIVRINOX;MANCHINOX;HAVARD;PIFAUDAIS;ATMM;AUTRE SST;MISE A DISPO;TRANSPORTEUR;COMMENTAIRES;POIDS
;;FEGE SAS;14-108-2119--1;;16;3.68;58.83;INOX 304 laf;2;;;;;;0.12;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;1;;;;;;;;;;;FRET;;8.32
;;FEGE SAS;14-108-2215--1;;8;4.19;33.56;INOX 304 laf;2;;;;;;0.04;;;0;;;;;;;0;;;;;;;0.21;1;;;0;;;0;;;;;;;1;;;;;;;;;;;;FRET;Pliage;2.84
;;FEGE SAS;14-108-2339--1;;224;0.16;34.86;INOX 304 laf;2;;;;;;0.25;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;1;;;;;;;;;;;;;FRET;;1.57
;;FEGE SAS;14-108-2430--1;;8;0.47;3.74;INOX 304 laf;2;;;;;;0.01;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;1;;;;;;;;;;;;;;FRET;;0.38
;;FEGE SAS;14-108-2135A--1;;8;65.24;521.93;INOX B220;2;;;;;;0.28;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;1;;;;;;;;;;;;;;;FRET;;82.65
;;FEGE SAS;14-108-2151A--1;;16;0.57;9.05;INOX B220;2;;;;;;0.05;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;1;;;;;;;;;;;;;;;;FRET;;0.62
;;FEGE SAS;14-108-2164--1;;16;1.08;17.36;INOX B220;2;;;;;;0.08;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;1;;;;;;;;;;;;;;;FRET;;1.52
;;FEGE SAS;14-108-2165--1;;8;5.3;42.38;INOX B220;2;;;;;;0.09;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;1;;;;;;;;;;;;;;FRET;;5.41
;;FEGE SAS;14-108-2166--1;;8;5.3;42.38;INOX B220;2;;;;;;0.09;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;1;;;;;;;;;;;;;FRET;;5.41
;;FEGE SAS;14-108-2130--1;;8;79.13;633.03;INOX B220;2;;;;;;0.46;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;1;;;;;;;;;;;;FRET;;97.96
;;FEGE SAS;14-108-2210--1;;8;25.64;205.14;INOX B220;2;;;;;;0.2;;;0;;;;;;;0;;;;;;;0.21;1;;;0;;;0;;;;;;;;1;;;;;;;;;;;FRET;Pliage;28.46
;;FEGE SAS;14-108-2321--1;;8;19.51;156.09;INOX 304 lac;12;;;;;;0.29;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;1;;;;;;;;;;FRET;;15.93
;;FEGE SAS;14-108-2417A--1;;8;43.16;345.27;INOX motif;1.5;;;;;;0.19;;;0;;;;;;;0;;;;;;;0.43;6;;;0;;;0;;;;;;;;;;1;;;;;;;;;FRET;Pliage - Réserve sur capacité pliage;17.64
