COMMANDE;CO-CLIENT;CLIENT;PLAN;Designation;QT;Prix Unitaire;Prix Total;Matière;Epaisseur;DATE CLIENT;DATE CONFIRM;ETUDE;EXPEDIER;STOCK;TRUMPH 1;SEM PROD;TPS PRODUIT L;EBAVURAGE;Orbitale;Ebav. Chants;Sup Micro attache;Tribofinition;SEM PROD;TPS PRODUIT E;PARACHEVEMENT;Perçage;Taraudage;Fraisurage;Insert;SEM PROD;TPS PRODUIT P;PLIAGE;Nbr d'Op;SEM PROD;TPS PRODUIT PL;SOUDURE MIG;SEM PROD;TPS PRODUIT S;SOUDURE TIG;SEM PROD;TPS PRODUIT S;ZINGAGE;SBG;PASSIVATION;COLOR +;IOPP;RANCE SABLAGE;AUT;CHAMPALAUNE;ALETRU;CUIVRINOX;MANCHINOX;HAVARD;PIFAUDAIS;ATMM;AUTRE SST;MISE A DISPO;TRANSPORTEUR;COMMENTAIRES;POIDS;TRANSPORT
;;SAMETO TECHNIFIL;P14-0166-R103A-Ind B;;12;3.03;36.31;ACIER s235;4;;;;;;0.13;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;16.58;7.94
;;SAMETO TECHNIFIL;P14-0166-R103B-Ind B;;12;2.65;31.83;ACIER s235;4;;;;;;0.12;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;14.28;6.84
;;SAMETO TECHNIFIL;P14-0166-R103C-Ind B;;12;2.12;25.49;ACIER s235;4;;;;;;0.09;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;11.71;5.61
;;SAMETO TECHNIFIL;P14-0166-R103D-Ind B;;12;0.92;11.01;ACIER s235;4;;;;;;0.07;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;3.32;1.59
;;SAMETO TECHNIFIL;P14-0166-R103E-Ind B;;12;2.24;26.93;ACIER s235;4;;;;;;0.10;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;12.4;5.94
;;SAMETO TECHNIFIL;P14-0166-L115-116-Ind B;;12;5.66;67.95;ACIER s235;5;;;;;;0.22;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;34.92;16.72
;;SAMETO TECHNIFIL;P14-0166-R150-Ind B;;6;2.23;13.4;ACIER s235;8;;;;;;0.08;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;2.51;1.2
;;SAMETO TECHNIFIL;P14-0166-R155-Ind B;;6;3.24;19.45;ACIER s235;8;;;;;;0.11;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;3.99;1.91
;;SAMETO TECHNIFIL;P14-0166-R160-Ind B;;6;2.62;15.73;ACIER s235;8;;;;;;0.09;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;3.14;1.5
;;SAMETO TECHNIFIL;P14-0166-R305-Ind B;;12;2.91;34.9;ACIER s235;2;;;;;;0.21;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;11.17;5.35
;;SAMETO TECHNIFIL;P14-0166-R117-Ind B;;6;0.26;1.57;ACIER s235;4;;;;;;0.01;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;0.17;0.08
;;SAMETO TECHNIFIL;P14-0166-L301-Ind B;;12;1.43;17.12;ACIER s235;5;;;;;;0.10;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;MESSAGERIE;;5.53;2.65
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
