COMMANDE;CO-CLIENT;CLIENT;PLAN;Designation;QT;Prix Unitaire;Prix Total;Matière;Epaisseur;DATE CLIENT;DATE CONFIRM;ETUDE;EXPEDIER;STOCK;TRUMPH 1;SEM PROD;TPS PRODUIT L;EBAVURAGE;Orbitale;Ebav. Chants;Sup Micro attache;Tribofinition;SEM PROD;TPS PRODUIT E;PARACHEVEMENT;Perçage;Taraudage;Fraisurage;Insert;SEM PROD;TPS PRODUIT P;PLIAGE;Nbr d'Op;SEM PROD;TPS PRODUIT PL;SOUDURE MIG;SEM PROD;TPS PRODUIT S;SOUDURE TIG;SEM PROD;TPS PRODUIT S;ZINGAGE;SBG;PASSIVATION;COLOR +;IOPP;RANCE SABLAGE;AUT;CHAMPALAUNE;ALETRU;CUIVRINOX;MANCHINOX;HAVARD;PIFAUDAIS;ATMM;AUTRE SST;MISE A DISPO;TRANSPORTEUR;COMMENTAIRES;POIDS;TRANSPORT
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
