COMMANDE;CO-CLIENT;CLIENT;PLAN;Designation;QT;Prix Unitaire;Prix Total;Matière;Epaisseur;DATE CLIENT;DATE CONFIRM;ETUDE;EXPEDIER;STOCK;TRUMPH 1;SEM PROD;TPS PRODUIT L;EBAVURAGE;Orbitale;Ebav. Chants;Sup Micro attache;Tribofinition;SEM PROD;TPS PRODUIT E;PARACHEVEMENT;Perçage;Taraudage;Fraisurage;Insert;SEM PROD;TPS PRODUIT P;PLIAGE;Nbr d'Op;SEM PROD;TPS PRODUIT PL;SOUDURE MIG;SEM PROD;TPS PRODUIT S;SOUDURE TIG;SEM PROD;TPS PRODUIT S;ZINGAGE;SBG;PASSIVATION;COLOR +;IOPP;RANCE SABLAGE;AUT;CHAMPALAUNE;ALETRU;CUIVRINOX;MANCHINOX;HAVARD;PIFAUDAIS;ATMM;AUTRE SST;MISE A DISPO;TRANSPORTEUR;COMMENTAIRES;POIDS
;;FEGE SAS;12-7000-A;;12;5.47;65.65;INOX 304 lac;6;;;;;;0.21;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;;8.47
;;FEGE SAS;07-113-213-A;;44;8.89;391.17;INOX 304 lac;3;;;;;;0.49;;;0;;;;;;;0;;;;;;;0.43;1;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;Pliage;82.24
;;FEGE SAS;07-113-228-A;;24;0.22;5.25;INOX 304 lac;3;;;;;;0.03;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;;0.5
;;FEGE SAS;07-162-2030-A;;4;3.64;14.56;INOX 304 lac;3;;;;;;0.02;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;;3.2
;;FEGE SAS;07-163-4108;;24;0.29;6.94;INOX 304 lac;3;;;;;;0.04;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;;0.77
;;FEGE SAS;10-151-2042;;8;0.21;1.69;INOX 304 lac;3;;;;;;0.01;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;;0.18
;;FEGE SAS;10-174-5403;;44;11.25;494.81;INOX 304 lac;3;;;;;;0.6;;;0;;;;;;;0;;;;;;;0.43;1;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;Pliage;102.34
;;FEGE SAS;10-174-5409-A;;4;8.42;33.66;INOX 304 lac;3;;;;;;0.02;;;0;;;;;;;0;;;;;;;0.13;1;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;Pliage;5.64
;;FEGE SAS;07-113-313-A;;44;16.85;741.26;INOX 304 lac;3;;;;;;0.87;;;0;;;;;;;0;;;;;;;0.43;1;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;Pliage;159.24
;;FEGE SAS;07-163-4105;;84;0.34;28.78;INOX 304 laf;2.5;;;;;;0.18;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;;1.09
;;FEGE SAS;07-162-1041-A;;4;4.31;17.23;INOX 304 laf;2;;;;;;0.12;;;0;;;;;;;0;;;;;;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;FRET;;0.54
